time,city,T,P,W_speed,W_chill,Humidity,Visibility,Ppt
2009-01-11T21:00:00,San Francisco,60,1028,7,60,47,10,0.0
2009-01-12T00:00:00,San Francisco,56,1027,7,54,53,10,0.0
2009-01-12T03:00:00,San Francisco,55,1026,8,52,68,10,0.0
2009-01-12T06:00:00,San Francisco,53,1026,7,51,74,10,0.0
2009-01-12T09:00:00,San Francisco,52,1026,7,50,71,10,0.0
2009-01-12T12:00:00,San Francisco,62,1026,9,62,54,10,0.0
2009-01-12T15:00:00,San Francisco,69,1025,12,69,41,10,0.0
2009-01-12T18:00:00,San Francisco,70,1024,9,70,42,10,0.0
2009-01-12T21:00:00,San Francisco,65,1024,6,65,54,10,0.0
2009-01-13T00:00:00,San Francisco,58,1025,9,56,60,10,0.0
2009-01-13T03:00:00,San Francisco,55,1025,10,53,64,10,0.0
2009-01-13T06:00:00,San Francisco,52,1025,10,49,67,10,0.0
2009-01-13T09:00:00,San Francisco,51,1025,9,48,68,10,0.0
2009-01-13T12:00:00,San Francisco,58,1026,8,57,54,10,0.0
2009-01-13T15:00:00,San Francisco,71,1025,5,71,41,10,0.0
2009-01-13T18:00:00,San Francisco,73,1023,4,73,42,10,0.0
2009-01-13T21:00:00,San Francisco,60,1024,5,60,54,10,0.0
2009-01-14T00:00:00,San Francisco,58,1024,5,57,58,10,0.0
2009-01-14T03:00:00,San Francisco,55,1024,8,53,57,10,0.0
2009-01-14T06:00:00,San Francisco,52,1023,8,49,61,10,0.0
2009-01-14T09:00:00,San Francisco,51,1023,7,48,63,10,0.0
2009-01-14T12:00:00,San Francisco,63,1024,6,63,45,10,0.0
2009-01-14T15:00:00,San Francisco,71,1022,5,71,34,10,0.0
2009-01-14T18:00:00,San Francisco,70,1021,4,70,36,10,0.0
2009-01-14T21:00:00,San Francisco,54,1021,4,53,46,10,0.0
2009-01-15T00:00:00,San Francisco,55,1021,6,53,46,10,0.0
2009-01-15T03:00:00,San Francisco,53,1021,6,50,56,10,0.0
2009-01-15T06:00:00,San Francisco,51,1021,7,49,58,10,0.0
2009-01-15T09:00:00,San Francisco,50,1020,8,47,60,10,0.0
2009-01-15T12:00:00,San Francisco,58,1021,7,57,46,10,0.0
2009-01-15T15:00:00,San Francisco,70,1020,5,70,36,10,0.0
2009-01-15T18:00:00,San Francisco,72,1020,4,72,37,10,0.0
2009-01-15T21:00:00,San Francisco,59,1020,4,59,53,10,0.0
2009-01-16T00:00:00,San Francisco,57,1021,7,55,52,10,0.0
2009-01-16T03:00:00,San Francisco,54,1021,8,52,60,10,0.0
2009-01-16T06:00:00,San Francisco,52,1022,9,49,61,10,0.0
2009-01-16T09:00:00,San Francisco,53,1023,8,50,59,10,0.0
2009-01-16T12:00:00,San Francisco,59,1025,8,59,46,10,0.0
2009-01-16T15:00:00,San Francisco,69,1023,6,69,37,10,0.0
2009-01-16T18:00:00,San Francisco,71,1023,4,71,39,10,0.0
2009-01-16T21:00:00,San Francisco,60,1022,3,60,57,10,0.0
2009-01-17T00:00:00,San Francisco,58,1024,3,58,71,10,0.0
2009-01-17T03:00:00,San Francisco,55,1024,4,54,63,10,0.0
2009-01-17T06:00:00,San Francisco,52,1024,6,50,59,10,0.0
2009-01-17T09:00:00,San Francisco,49,1023,6,47,59,10,0.0
2009-01-17T12:00:00,San Francisco,62,1024,6,62,45,10,0.0
2009-01-17T15:00:00,San Francisco,72,1022,4,72,36,10,0.0
2009-01-17T18:00:00,San Francisco,74,1021,3,74,39,10,0.0
2009-01-17T21:00:00,San Francisco,58,1021,4,58,53,10,0.0
2009-01-18T00:00:00,San Francisco,58,1023,5,57,52,10,0.0
2009-01-18T03:00:00,San Francisco,55,1023,6,54,57,10,0.0
2009-01-18T06:00:00,San Francisco,52,1024,8,50,57,10,0.0
2009-01-18T09:00:00,San Francisco,51,1023,9,47,60,10,0.0
2009-01-18T12:00:00,San Francisco,58,1025,9,56,47,10,0.0
2009-01-18T15:00:00,San Francisco,66,1024,7,66,36,10,0.0
2009-01-18T18:00:00,San Francisco,69,1023,6,69,37,10,0.0
2009-01-18T21:00:00,San Francisco,58,1024,7,57,50,10,0.0
2009-01-19T00:00:00,San Francisco,56,1024,7,54,52,10,0.0
2009-01-19T03:00:00,San Francisco,53,1024,9,51,52,10,0.0
2009-01-19T06:00:00,San Francisco,51,1024,9,47,55,10,0.0
2009-01-19T09:00:00,San Francisco,49,1023,10,46,59,10,0.0
2009-01-19T12:00:00,San Francisco,57,1024,9,55,45,10,0.0
2009-01-19T15:00:00,San Francisco,68,1022,10,68,33,10,0.0
2009-01-19T18:00:00,San Francisco,70,1020,8,70,33,10,0.0
2009-01-19T21:00:00,San Francisco,58,1021,7,57,46,10,0.0
2009-01-20T00:00:00,San Francisco,55,1021,7,54,48,10,0.0
2009-01-20T03:00:00,San Francisco,55,1021,6,53,52,10,0.0
2009-01-20T06:00:00,San Francisco,51,1021,8,48,54,10,0.0
2009-01-20T09:00:00,San Francisco,49,1020,9,46,59,10,0.0
2009-01-20T12:00:00,San Francisco,57,1021,8,56,47,10,0.0
2009-01-20T15:00:00,San Francisco,68,1019,7,68,37,10,0.0
2009-01-20T18:00:00,San Francisco,68,1017,6,68,38,10,0.0
2009-01-20T21:00:00,San Francisco,56,1017,6,55,47,10,0.0
2009-01-21T00:00:00,San Francisco,55,1017,5,54,48,10,0.0
2009-01-21T03:00:00,San Francisco,55,1018,4,55,46,10,0.0
2009-01-21T06:00:00,San Francisco,55,1017,4,54,44,10,0.0
2009-01-21T09:00:00,San Francisco,54,1016,4,54,48,10,0.0
2009-01-21T12:00:00,San Francisco,58,1017,3,59,48,10,0.1
2009-01-21T15:00:00,San Francisco,58,1016,4,58,53,2,0.2
2009-01-21T18:00:00,San Francisco,53,1016,5,51,67,9,1.5
2009-01-21T21:00:00,San Francisco,52,1016,6,50,81,7,2.9
2009-01-22T00:00:00,San Francisco,52,1015,6,50,90,5,8.2
2009-01-22T03:00:00,San Francisco,52,1015,7,49,91,9,2.3
2009-01-22T06:00:00,San Francisco,51,1014,6,49,92,7,4.4
2009-01-22T09:00:00,San Francisco,53,1016,2,53,93,2,0.6
2009-01-22T12:00:00,San Francisco,54,1016,5,52,91,9,1.0
2009-01-22T15:00:00,San Francisco,55,1016,5,54,89,10,0.1
2009-01-22T18:00:00,San Francisco,54,1016,6,52,89,5,0.4
2009-01-22T21:00:00,San Francisco,53,1017,4,52,93,10,0.1
2009-01-23T00:00:00,San Francisco,53,1017,5,52,93,5,0.5
2009-01-23T03:00:00,San Francisco,52,1017,5,50,94,9,1.0
2009-01-23T06:00:00,San Francisco,51,1016,6,49,94,9,1.6
2009-01-23T09:00:00,San Francisco,53,1017,7,50,94,9,0.8
2009-01-23T12:00:00,San Francisco,54,1017,7,52,90,9,1.0
2009-01-23T15:00:00,San Francisco,55,1017,5,54,90,2,0.5
2009-01-23T18:00:00,San Francisco,55,1017,4,54,93,6,1.7
2009-01-23T21:00:00,San Francisco,54,1018,3,54,94,6,0.8
2009-01-24T00:00:00,San Francisco,52,1019,2,52,94,6,1.7
2009-01-24T03:00:00,San Francisco,51,1019,4,50,94,2,0.6
2009-01-24T06:00:00,San Francisco,50,1020,4,49,94,9,0.9
2009-01-24T09:00:00,San Francisco,52,1020,5,50,93,2,0.3
2009-01-24T12:00:00,San Francisco,53,1021,6,52,91,5,0.6
2009-01-24T15:00:00,San Francisco,54,1021,8,52,84,10,0.1
2009-01-24T18:00:00,San Francisco,53,1020,7,51,85,10,0.1
2009-01-24T21:00:00,San Francisco,52,1021,5,51,88,10,0.1
2009-01-25T00:00:00,San Francisco,49,1021,7,46,88,10,0.1
2009-01-25T03:00:00,San Francisco,48,1021,8,44,82,10,0.0
2009-01-25T06:00:00,San Francisco,46,1020,9,42,82,10,0.0
2009-01-25T09:00:00,San Francisco,49,1021,13,45,78,10,0.0
2009-01-25T12:00:00,San Francisco,53,1021,15,48,66,10,0.0
2009-01-25T15:00:00,San Francisco,55,1018,13,51,69,9,0.2
2009-01-25T18:00:00,San Francisco,53,1016,15,48,75,9,1.0
2009-01-25T21:00:00,San Francisco,50,1017,13,46,77,9,0.2
2009-01-26T00:00:00,San Francisco,48,1018,13,43,78,10,0.2
2009-01-26T03:00:00,San Francisco,47,1018,12,42,81,10,0.0
2009-01-26T06:00:00,San Francisco,46,1018,9,42,82,10,0.0
2009-01-26T09:00:00,San Francisco,46,1020,9,41,81,10,0.0
2009-01-26T12:00:00,San Francisco,47,1022,8,42,67,10,0.0
2009-01-26T15:00:00,San Francisco,48,1021,8,45,60,10,0.0
2009-01-26T18:00:00,San Francisco,49,1022,8,46,58,10,0.0
2009-01-26T21:00:00,San Francisco,50,1024,8,47,71,10,0.0
2009-01-27T00:00:00,San Francisco,49,1024,7,46,70,10,0.0
2009-01-27T03:00:00,San Francisco,47,1027,8,44,66,10,0.0
2009-01-27T06:00:00,San Francisco,45,1029,6,41,71,10,0.0
2009-01-27T09:00:00,San Francisco,44,1031,6,41,71,10,0.0
2009-01-27T12:00:00,San Francisco,49,1033,4,48,48,10,0.0
2009-01-27T15:00:00,San Francisco,57,1032,2,58,35,10,0.0
2009-01-27T18:00:00,San Francisco,54,1031,4,53,40,10,0.0
2009-01-27T21:00:00,San Francisco,50,1032,4,48,58,10,0.0
2009-01-28T00:00:00,San Francisco,47,1034,4,45,67,10,0.0
2009-01-28T03:00:00,San Francisco,45,1033,4,43,77,10,0.0
2009-01-28T06:00:00,San Francisco,45,1033,6,41,77,10,0.0
2009-01-28T09:00:00,San Francisco,42,1033,8,37,70,10,0.0
2009-01-28T12:00:00,San Francisco,54,1032,6,53,50,10,0.0
2009-01-28T15:00:00,San Francisco,61,1029,7,61,49,10,0.0
2009-01-28T18:00:00,San Francisco,62,1028,9,62,57,10,0.0
2009-01-28T21:00:00,San Francisco,54,1028,8,52,74,10,0.0
2009-01-29T00:00:00,San Francisco,53,1027,7,50,72,10,0.0
2009-01-29T03:00:00,San Francisco,51,1026,7,49,73,10,0.0
2009-01-29T06:00:00,San Francisco,48,1026,7,45,71,10,0.0
2009-01-29T09:00:00,San Francisco,47,1027,8,43,70,10,0.0
2009-01-29T12:00:00,San Francisco,55,1027,8,52,55,10,0.0
2009-01-29T15:00:00,San Francisco,61,1026,9,61,41,10,0.0
2009-01-29T18:00:00,San Francisco,64,1025,6,64,41,10,0.0
2009-01-29T21:00:00,San Francisco,54,1026,5,53,57,10,0.0
2009-01-30T00:00:00,San Francisco,53,1027,6,51,57,10,0.0
2009-01-30T03:00:00,San Francisco,51,1026,8,48,62,10,0.0
2009-01-30T06:00:00,San Francisco,48,1026,7,45,71,10,0.0
2009-01-30T09:00:00,San Francisco,48,1025,7,45,74,10,0.0
2009-01-30T12:00:00,San Francisco,59,1026,7,59,54,10,0.0
2009-01-30T15:00:00,San Francisco,67,1024,5,67,43,10,0.0
2009-01-30T18:00:00,San Francisco,70,1023,4,70,43,10,0.0
2009-01-30T21:00:00,San Francisco,55,1023,5,54,66,10,0.0
2009-01-31T00:00:00,San Francisco,54,1024,5,53,67,10,0.0
2009-01-31T03:00:00,San Francisco,52,1024,6,50,67,10,0.0
2009-01-31T06:00:00,San Francisco,50,1024,6,47,68,10,0.0
2009-01-31T09:00:00,San Francisco,47,1024,7,44,69,10,0.0
2009-01-31T12:00:00,San Francisco,58,1024,7,57,53,10,0.0
2009-01-31T15:00:00,San Francisco,66,1023,6,66,42,10,0.0
2009-01-31T18:00:00,San Francisco,68,1022,5,68,43,10,0.0
2009-01-31T21:00:00,San Francisco,56,1022,5,55,65,10,0.0
2009-02-01T00:00:00,San Francisco,56,1020,5,55,74,10,0.0
2009-02-01T03:00:00,San Francisco,54,1021,6,52,71,10,0.0
2009-02-01T06:00:00,San Francisco,52,1021,6,50,67,10,0.0
2009-02-01T09:00:00,San Francisco,48,1022,7,45,65,10,0.0
2009-02-01T12:00:00,San Francisco,57,1023,6,56,47,10,0.0
2009-02-01T15:00:00,San Francisco,64,1022,6,64,36,10,0.0
2009-02-01T18:00:00,San Francisco,66,1022,6,66,37,10,0.0
2009-02-01T21:00:00,San Francisco,57,1022,3,57,62,10,0.0
2009-02-02T00:00:00,San Francisco,55,1023,3,55,62,10,0.0
2009-02-02T03:00:00,San Francisco,53,1023,6,51,55,10,0.0
2009-02-02T06:00:00,San Francisco,51,1023,7,48,56,10,0.0
2009-02-02T09:00:00,San Francisco,47,1023,8,43,65,10,0.0
2009-02-02T12:00:00,San Francisco,58,1023,7,57,54,10,0.0
2009-02-02T15:00:00,San Francisco,70,1022,4,70,45,10,0.0
2009-02-02T18:00:00,San Francisco,73,1021,1,73,45,10,0.0
2009-02-02T21:00:00,San Francisco,58,1020,4,58,69,10,0.0
2009-02-03T00:00:00,San Francisco,56,1021,5,55,65,10,0.0
2009-02-03T03:00:00,San Francisco,53,1019,7,51,65,10,0.0
2009-02-03T06:00:00,San Francisco,51,1018,7,49,64,10,0.0
2009-02-03T09:00:00,San Francisco,49,1019,7,47,68,10,0.0
2009-02-03T12:00:00,San Francisco,64,1019,6,64,50,10,0.0
2009-02-03T15:00:00,San Francisco,75,1017,4,75,38,10,0.0
2009-02-03T18:00:00,San Francisco,75,1015,4,75,42,10,0.0
2009-02-03T21:00:00,San Francisco,52,1015,2,53,70,10,0.0
2009-02-04T00:00:00,San Francisco,51,1015,2,52,76,10,0.0
2009-02-04T03:00:00,San Francisco,49,1015,3,48,76,10,0.0
2009-02-04T06:00:00,San Francisco,52,1014,7,50,59,10,0.0
2009-02-04T09:00:00,San Francisco,49,1014,8,45,60,10,0.0
2009-02-04T12:00:00,San Francisco,59,1015,7,59,45,10,0.0
2009-02-04T15:00:00,San Francisco,67,1014,5,67,36,10,0.0
2009-02-04T18:00:00,San Francisco,63,1013,11,63,38,10,0.0
2009-02-04T21:00:00,San Francisco,53,1013,4,52,67,10,0.0
2009-02-05T00:00:00,San Francisco,53,1013,4,52,66,10,0.0
2009-02-05T03:00:00,San Francisco,52,1013,9,48,74,2,0.6
2009-02-05T06:00:00,San Francisco,50,1014,11,46,89,7,4.7
2009-02-05T09:00:00,San Francisco,51,1014,10,47,89,9,0.4
2009-02-05T12:00:00,San Francisco,55,1014,9,52,80,5,0.5
2009-02-05T15:00:00,San Francisco,57,1014,9,55,72,10,0.8
2009-02-05T18:00:00,San Francisco,55,1012,9,53,80,10,2.2
2009-02-05T21:00:00,San Francisco,53,1013,7,50,90,9,0.4
2009-02-06T00:00:00,San Francisco,51,1013,9,48,94,10,0.4
2009-02-06T03:00:00,San Francisco,50,1012,9,46,95,10,0.7
2009-02-06T06:00:00,San Francisco,49,1010,10,45,94,10,2.3
2009-02-06T09:00:00,San Francisco,52,1009,8,49,95,7,4.6
2009-02-06T12:00:00,San Francisco,55,1009,4,54,93,7,7.1
2009-02-06T15:00:00,San Francisco,56,1010,2,56,91,10,1.1
2009-02-06T18:00:00,San Francisco,55,1009,4,55,86,10,1.4
2009-02-06T21:00:00,San Francisco,53,1010,6,51,94,5,0.2
2009-02-07T00:00:00,San Francisco,51,1010,7,48,93,5,0.4
2009-02-07T03:00:00,San Francisco,50,1012,7,47,93,5,0.2
2009-02-07T06:00:00,San Francisco,49,1011,6,47,92,9,0.3
2009-02-07T09:00:00,San Francisco,50,1011,7,47,91,10,0.1
2009-02-07T12:00:00,San Francisco,54,1012,2,55,80,9,0.4
2009-02-07T15:00:00,San Francisco,56,1012,4,56,65,10,0.0
2009-02-07T18:00:00,San Francisco,59,1012,3,60,60,10,0.0
2009-02-07T21:00:00,San Francisco,51,1011,8,48,81,9,0.6
2009-02-08T00:00:00,San Francisco,51,1011,6,48,84,9,0.7
2009-02-08T03:00:00,San Francisco,50,1012,3,49,90,10,0.0
2009-02-08T06:00:00,San Francisco,49,1012,2,49,91,10,0.0
2009-02-08T09:00:00,San Francisco,47,1013,4,45,91,10,0.0
2009-02-08T12:00:00,San Francisco,54,1015,7,51,80,10,0.0
2009-02-08T15:00:00,San Francisco,51,1014,12,47,80,10,0.0
2009-02-08T18:00:00,San Francisco,53,1013,11,49,71,10,0.1
2009-02-08T21:00:00,San Francisco,48,1012,15,42,90,7,3.6
2009-02-09T00:00:00,San Francisco,47,1012,16,40,85,8,5.8
2009-02-09T03:00:00,San Francisco,45,1012,12,39,85,10,0.3
2009-02-09T06:00:00,San Francisco,44,1012,8,40,83,9,0.4
2009-02-09T09:00:00,San Francisco,44,1014,9,38,79,10,0.0
2009-02-09T12:00:00,San Francisco,46,1016,12,40,58,10,0.0
2009-02-09T15:00:00,San Francisco,48,1016,15,42,48,10,0.0
2009-02-09T18:00:00,San Francisco,48,1017,17,41,53,10,0.0
2009-02-09T21:00:00,San Francisco,46,1019,15,40,69,10,0.0
2009-02-10T00:00:00,San Francisco,45,1020,13,38,72,10,0.0
2009-02-10T03:00:00,San Francisco,44,1022,9,39,74,10,0.0
2009-02-10T06:00:00,San Francisco,43,1022,10,37,72,10,0.0
2009-02-10T09:00:00,San Francisco,42,1023,7,38,73,10,0.0
2009-02-10T12:00:00,San Francisco,48,1024,5,46,53,10,0.0
2009-02-10T15:00:00,San Francisco,48,1024,9,44,52,10,0.0
2009-02-10T18:00:00,San Francisco,47,1023,9,44,62,10,0.0
2009-02-10T21:00:00,San Francisco,46,1022,15,39,77,5,0.3
2009-02-11T00:00:00,San Francisco,49,1021,12,45,90,9,2.4
2009-02-11T03:00:00,San Francisco,51,1020,5,49,91,9,0.6
2009-02-11T06:00:00,San Francisco,51,1021,4,50,88,10,0.7
2009-02-11T09:00:00,San Francisco,45,1022,3,44,87,10,0.0
2009-02-11T12:00:00,San Francisco,53,1022,3,53,74,10,0.2
2009-02-11T15:00:00,San Francisco,53,1020,13,49,70,9,0.4
2009-02-11T18:00:00,San Francisco,51,1019,12,46,82,10,2.0
2009-02-11T21:00:00,San Francisco,47,1020,7,43,83,10,0.4
2009-02-12T00:00:00,San Francisco,45,1020,5,43,88,9,0.4
2009-02-12T03:00:00,San Francisco,45,1020,2,44,90,9,0.3
2009-02-12T06:00:00,San Francisco,44,1020,4,42,89,9,0.3
2009-02-12T09:00:00,San Francisco,45,1021,6,42,90,10,0.1
2009-02-12T12:00:00,San Francisco,48,1023,4,46,80,10,0.0
2009-02-12T15:00:00,San Francisco,49,1024,1,49,73,10,0.0
2009-02-12T18:00:00,San Francisco,48,1023,4,46,75,10,0.0
2009-02-12T21:00:00,San Francisco,47,1022,4,45,76,10,0.0
2009-02-13T00:00:00,San Francisco,45,1020,11,40,81,10,0.0
2009-02-13T03:00:00,San Francisco,43,1017,18,35,87,9,1.5
2009-02-13T06:00:00,San Francisco,41,1015,8,36,95,5,10.5
2009-02-13T09:00:00,San Francisco,46,1015,9,41,86,10,0.6
2009-02-13T12:00:00,San Francisco,50,1016,6,48,84,9,0.9
2009-02-13T15:00:00,San Francisco,52,1016,10,49,80,9,1.0
2009-02-13T18:00:00,San Francisco,50,1015,11,46,88,7,3.0
2009-02-13T21:00:00,San Francisco,47,1015,9,42,89,10,1.6
2009-02-14T00:00:00,San Francisco,45,1015,6,42,92,7,3.2
2009-02-14T03:00:00,San Francisco,44,1017,4,41,87,9,0.4
2009-02-14T06:00:00,San Francisco,42,1017,4,39,88,9,0.5
2009-02-14T09:00:00,San Francisco,45,1018,8,40,92,10,0.0
2009-02-14T12:00:00,San Francisco,48,1018,11,44,86,10,0.1
2009-02-14T15:00:00,San Francisco,50,1016,14,45,83,10,0.1
2009-02-14T18:00:00,San Francisco,48,1014,17,42,82,2,0.3
2009-02-14T21:00:00,San Francisco,46,1013,18,38,79,10,0.0
2009-02-15T00:00:00,San Francisco,49,1011,21,42,78,2,0.2
2009-02-15T03:00:00,San Francisco,48,1008,27,40,82,9,1.8
2009-02-15T06:00:00,San Francisco,48,1007,28,39,90,5,9.8
2009-02-15T09:00:00,San Francisco,49,1007,18,43,92,7,6.5
2009-02-15T12:00:00,San Francisco,50,1008,20,44,91,5,9.8
2009-02-15T15:00:00,San Francisco,51,1007,21,45,91,9,1.1
2009-02-15T18:00:00,San Francisco,50,1005,20,44,91,9,2.2
2009-02-15T21:00:00,San Francisco,49,1005,13,44,92,9,1.2
2009-02-16T00:00:00,San Francisco,49,1004,13,44,94,6,3.5
2009-02-16T03:00:00,San Francisco,48,1002,19,42,90,7,2.9
2009-02-16T06:00:00,San Francisco,47,1000,13,42,93,6,6.3
2009-02-16T09:00:00,San Francisco,50,1001,8,46,92,7,3.7
2009-02-16T12:00:00,San Francisco,52,1002,7,49,88,8,5.6
2009-02-16T15:00:00,San Francisco,53,1003,15,48,73,10,0.2
2009-02-16T18:00:00,San Francisco,52,1004,16,47,74,9,0.4
2009-02-16T21:00:00,San Francisco,50,1007,12,46,87,10,0.8
2009-02-17T00:00:00,San Francisco,49,1007,12,44,89,7,2.6
2009-02-17T03:00:00,San Francisco,47,1008,15,41,90,10,1.9
2009-02-17T06:00:00,San Francisco,47,1008,16,40,93,7,5.6
2009-02-17T09:00:00,San Francisco,49,1010,14,43,92,7,3.6
2009-02-17T12:00:00,San Francisco,51,1013,13,46,89,7,6.8
2009-02-17T15:00:00,San Francisco,52,1015,10,49,90,7,3.5
2009-02-17T18:00:00,San Francisco,51,1016,10,47,88,7,5.6
2009-02-17T21:00:00,San Francisco,50,1018,6,48,90,9,0.5
2009-02-18T00:00:00,San Francisco,49,1021,5,47,92,9,0.6
2009-02-18T03:00:00,San Francisco,48,1022,8,45,94,10,0.1
2009-02-18T06:00:00,San Francisco,47,1022,9,43,95,10,0.1
